,batter_id,batter_name,year,month,am_avg,avg,AB,R,H,1B,2B,3B,HR,RBI,BB,HBP,SO,GDP,BABIP,SLG,OBP,am_BABIP,am_SLG,am_OBP
0,1,강경학,2011,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,강경학,2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
2,1,강경학,2014,8,0.265,0.265,49.0,8.0,13.0,8.0,2.0,2.0,1.0,6.0,4.0,1.0,13.0,0.0,0.343,0.449,0.333,0.114,0.15,0.444
3,1,강경학,2014,9,0.143,0.238,14.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,0.286,0.143,0.333,0.157,0.148,0.416
4,1,강경학,2014,10,0.174,0.221,23.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,8.0,1.0,0.267,0.261,0.296,0.179,0.171,0.392
5,1,강경학,2015,3,0.25,0.25,8.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.333,0.25,0.333,0.205,0.184,0.382
6,1,강경학,2015,4,0.27,0.267,37.0,8.0,10.0,9.0,1.0,0.0,0.0,2.0,4.0,1.0,7.0,1.0,0.333,0.297,0.357,0.223,0.2,0.378
7,1,강경학,2015,5,0.174,0.22,46.0,4.0,8.0,7.0,0.0,1.0,0.0,4.0,7.0,1.0,9.0,0.0,0.216,0.217,0.296,0.222,0.202,0.368
8,1,강경학,2015,6,0.292,0.25,65.0,15.0,19.0,13.0,4.0,0.0,2.0,7.0,9.0,0.0,11.0,1.0,0.327,0.446,0.378,0.234,0.229,0.369
9,1,강경학,2015,7,0.273,0.253,22.0,3.0,6.0,6.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.316,0.273,0.36,0.242,0.233,0.368
10,1,강경학,2015,8,0.321,0.273,78.0,12.0,25.0,23.0,1.0,1.0,0.0,3.0,10.0,3.0,11.0,0.0,0.373,0.359,0.418,0.254,0.244,0.373
11,1,강경학,2015,9,0.128,0.251,47.0,6.0,6.0,4.0,0.0,2.0,0.0,4.0,6.0,0.0,13.0,1.0,0.176,0.213,0.226,0.248,0.241,0.361
12,1,강경학,2015,10,0.5,0.257,8.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.667,0.625,0.5,0.28,0.271,0.372
13,1,강경학,2016,4,0.194,0.194,31.0,6.0,6.0,4.0,1.0,0.0,1.0,2.0,4.0,1.0,7.0,3.0,0.217,0.323,0.306,0.276,0.275,0.367
14,1,강경학,2016,5,0.0,0.182,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.257,0.343
15,1,강경학,2016,6,0.071,0.131,28.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.167,0.071,0.103,0.252,0.245,0.328
16,1,강경학,2016,7,0.2,0.158,40.0,9.0,8.0,4.0,2.0,2.0,0.0,4.0,3.0,1.0,7.0,2.0,0.242,0.35,0.273,0.251,0.251,0.325
17,1,강경학,2017,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.237,0.237,0.307
18,1,강경학,2017,4,0.211,0.2,38.0,6.0,8.0,7.0,1.0,0.0,0.0,3.0,3.0,0.0,8.0,0.0,0.267,0.237,0.268,0.239,0.237,0.305
19,1,강경학,2017,5,0.143,0.185,14.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.182,0.286,0.333,0.236,0.239,0.306
20,1,강경학,2017,6,0.238,0.2,21.0,4.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.312,0.286,0.304,0.24,0.241,0.306
21,1,강경학,2017,7,0.333,0.214,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.429,0.333,0.333,0.249,0.245,0.307
22,1,강경학,2018,6,0.383,0.383,81.0,18.0,31.0,22.0,5.0,1.0,3.0,15.0,11.0,1.0,16.0,3.0,0.452,0.58,0.462,0.258,0.26,0.314
23,1,강경학,2018,7,0.291,0.335,86.0,11.0,25.0,20.0,4.0,0.0,1.0,7.0,12.0,1.0,19.0,1.0,0.364,0.372,0.384,0.262,0.265,0.317
24,1,강경학,2018,8,0.1,0.299,30.0,4.0,3.0,3.0,0.0,0.0,0.0,2.0,5.0,1.0,9.0,2.0,0.143,0.1,0.25,0.257,0.258,0.314
25,1,강경학,2018,9,0.175,0.278,40.0,8.0,7.0,4.0,2.0,0.0,1.0,3.0,10.0,1.0,11.0,1.0,0.214,0.3,0.353,0.255,0.26,0.316
26,1,강경학,2018,10,0.25,0.278,8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.25,0.25,0.264,0.26,0.314
27,2,강구성,2013,9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,강구성,2015,9,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2,강구성,2015,10,1.0,0.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.333,0.667,0.667
30,2,강구성,2016,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.086,0.112,0.333
31,2,강구성,2016,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.118,0.333
32,2,강구성,2017,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.149,0.143,0.327
33,2,강구성,2018,6,0.25,0.25,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.5,0.25,0.319,0.229,0.363
34,2,강구성,2018,7,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.175,0.331
35,69,김태완,2006,5,0.667,0.667,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.667,0.667,1.0,0.667,0.667
36,69,김태완,2006,7,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,69,김태완,2007,4,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.1,0.0,0.0,0.367
38,69,김태완,2007,5,0.238,0.16699999999999998,21.0,2.0,5.0,3.0,1.0,0.0,1.0,2.0,5.0,0.0,6.0,0.0,0.286,0.429,0.385,0.157,0.22,0.429
39,69,김태완,2007,6,0.083,0.14300000000000002,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.125,0.083,0.214,0.151,0.135,0.376
