,batter_id,batter_name,year,avg,G,AB,R,H,1B,2B,3B,HR,TB,BB,HBP,SO,SLG,OBP,OPS,BABIP
3,1,강경학,2015,0.257,120,311,50,80,67,7,4,2,101,40,5,58,0.325,0.348,0.6729999999999999,0.3107569721115538
4,1,강경학,2016,0.158,46,101,16,16,10,3,2,1,26,8,2,30,0.257,0.23199999999999998,0.489,0.21428571428571427
6,1,강경학,2018,0.278,77,245,42,68,51,11,1,5,96,38,4,59,0.392,0.382,0.774,0.34806629834254144
43,4,강민호,2005,0.243,104,214,20,52,37,11,2,2,73,5,2,56,0.341,0.267,0.6080000000000001,0.32051282051282054
44,4,강민호,2006,0.251,126,410,40,103,74,20,0,9,150,23,11,78,0.366,0.307,0.6729999999999999,0.29102167182662536
45,4,강민호,2007,0.271,125,413,48,112,78,20,0,14,174,37,4,88,0.42100000000000004,0.335,0.7559999999999999,0.31511254019292606
46,4,강민호,2008,0.292,122,435,51,127,82,25,1,19,211,49,7,77,0.485,0.365,0.85,0.3185840707964602
47,4,강민호,2009,0.26,83,262,36,68,46,13,0,9,108,33,3,44,0.41200000000000003,0.34600000000000003,0.758,0.2822966507177033
48,4,강민호,2010,0.305,117,410,66,125,82,19,1,23,215,42,8,65,0.524,0.376,0.9,0.3167701863354037
49,4,강민호,2011,0.289,124,450,63,130,84,25,2,19,216,47,8,81,0.48,0.366,0.846,0.3171428571428571
50,4,강민호,2012,0.273,119,400,41,109,69,21,0,19,187,44,8,97,0.46799999999999997,0.355,0.823,0.31690140845070425
51,4,강민호,2013,0.235,105,327,48,77,53,13,0,11,123,60,11,87,0.376,0.366,0.742,0.28820960698689957
52,4,강민호,2014,0.22899999999999998,98,310,37,71,39,14,2,16,137,33,13,92,0.442,0.325,0.767,0.2722772277227723
53,4,강민호,2015,0.311,123,380,63,118,64,18,1,35,243,60,14,112,0.639,0.42100000000000004,1.06,0.3562231759656652
54,4,강민호,2016,0.32299999999999995,116,381,65,123,77,26,0,20,209,66,10,91,0.5489999999999999,0.433,0.982,0.3814814814814815
55,4,강민호,2017,0.285,130,456,62,130,85,22,1,22,220,41,15,104,0.48200000000000004,0.361,0.843,0.32727272727272727
56,4,강민호,2018,0.26899999999999996,129,427,46,115,79,14,0,22,195,29,14,96,0.457,0.331,0.7879999999999999,0.30097087378640774
57,5,강백호,2018,0.29,138,527,108,153,90,32,2,29,276,52,3,124,0.524,0.35600000000000004,0.88,0.3315508021390374
87,9,강승호,2017,0.25,85,248,42,62,41,14,2,5,95,7,3,67,0.38299999999999995,0.272,0.655,0.32386363636363635
88,9,강승호,2018,0.255,69,184,14,47,34,10,0,3,66,18,3,57,0.359,0.33,0.6890000000000001,0.3548387096774194
101,12,강한울,2014,0.264,93,208,32,55,46,5,4,0,68,8,1,44,0.327,0.294,0.621,0.3353658536585366
102,12,강한울,2015,0.205,90,264,30,54,43,8,3,0,68,13,3,51,0.258,0.25,0.508,0.2535211267605634
103,12,강한울,2016,0.272,104,298,36,81,65,13,3,0,100,15,0,46,0.336,0.307,0.643,0.32142857142857145
104,12,강한울,2017,0.303,135,412,58,125,113,9,3,0,140,26,0,57,0.34,0.344,0.6839999999999999,0.352112676056338
105,12,강한울,2018,0.259,83,193,20,50,43,5,2,0,59,12,1,34,0.306,0.306,0.612,0.31446540880503143
141,18,고종욱,2011,0.248,54,105,12,26,16,5,4,1,42,5,0,26,0.4,0.27899999999999997,0.679,0.32051282051282054
143,18,고종욱,2015,0.31,119,407,81,126,87,25,4,10,189,25,6,81,0.46399999999999997,0.358,0.8220000000000001,0.3670886075949367
144,18,고종욱,2016,0.33399999999999996,133,527,92,176,137,22,9,8,240,28,5,103,0.455,0.37,0.825,0.40384615384615385
145,18,고종욱,2017,0.312,123,426,70,133,93,24,8,8,197,22,3,92,0.462,0.349,0.8109999999999999,0.3834355828220859
146,18,고종욱,2018,0.27899999999999997,102,330,47,92,64,22,0,6,132,15,1,96,0.4,0.309,0.7090000000000001,0.37719298245614036
147,19,구자욱,2015,0.349,116,410,97,143,94,33,5,11,219,45,6,79,0.534,0.41700000000000004,0.951,0.4125
148,19,구자욱,2016,0.34299999999999997,108,428,105,147,101,19,13,14,234,55,5,68,0.547,0.42,0.967,0.38439306358381503
149,19,구자욱,2017,0.31,144,564,108,175,105,39,10,21,297,63,10,138,0.527,0.38299999999999995,0.91,0.3802469135802469
150,19,구자욱,2018,0.33299999999999996,116,478,100,159,108,26,5,20,255,43,5,110,0.5329999999999999,0.392,0.925,0.3994252873563218
153,20,국해성,2016,0.278,58,151,28,42,27,11,0,4,65,21,1,36,0.43,0.368,0.7979999999999999,0.34234234234234234
195,23,권희동,2013,0.203,121,349,42,71,36,19,1,15,137,36,2,75,0.39299999999999996,0.27899999999999997,0.672,0.21621621621621623
196,23,권희동,2014,0.285,101,221,39,63,44,10,2,7,98,25,3,43,0.44299999999999995,0.363,0.8059999999999999,0.32748538011695905
198,23,권희동,2017,0.28600000000000003,141,472,72,135,94,20,2,19,216,51,17,90,0.45799999999999996,0.371,0.8290000000000001,0.31955922865013775
199,23,권희동,2018,0.28300000000000003,104,343,43,97,69,19,1,8,142,35,4,58,0.414,0.35200000000000004,0.7659999999999999,0.3212996389891697
204,24,김강민,2006,0.276,96,145,20,40,29,9,1,1,54,14,1,30,0.3720000000000001,0.342,0.7140000000000001,0.34210526315789475
205,24,김강민,2007,0.243,124,334,51,81,64,10,3,4,109,28,6,57,0.326,0.312,0.638,0.28205128205128205
206,24,김강민,2008,0.271,106,258,38,70,48,16,3,3,101,26,6,46,0.391,0.35200000000000004,0.743,0.32057416267942584
207,24,김강민,2009,0.267,104,341,48,91,58,18,3,12,151,24,5,67,0.44299999999999995,0.32299999999999995,0.7659999999999999,0.3015267175572519
208,24,김강민,2010,0.317,115,401,74,127,96,19,2,10,180,33,2,51,0.449,0.369,0.8180000000000001,0.34411764705882353
209,24,김강민,2011,0.281,80,281,37,79,56,14,1,8,119,20,2,56,0.423,0.331,0.754,0.3271889400921659
210,24,김강민,2012,0.272,123,427,49,116,91,20,0,5,151,29,4,72,0.354,0.322,0.6759999999999999,0.3171428571428571
211,24,김강민,2013,0.301,105,352,39,106,71,22,3,10,164,36,4,54,0.466,0.37,0.8360000000000001,0.3333333333333333
212,24,김강민,2014,0.302,113,430,86,130,82,29,3,16,213,43,4,91,0.495,0.368,0.863,0.35294117647058826
213,24,김강민,2015,0.24600000000000002,96,293,43,72,51,17,0,4,101,23,7,83,0.345,0.315,0.6599999999999999,0.3300970873786408
214,24,김강민,2016,0.298,115,366,59,109,78,21,0,10,160,32,12,89,0.4370000000000001,0.371,0.8079999999999999,0.3707865168539326
215,24,김강민,2017,0.21899999999999997,88,183,31,40,29,5,1,5,62,15,5,50,0.33899999999999997,0.29600000000000004,0.635,0.2734375
216,24,김강민,2018,0.298,80,235,40,70,42,14,0,14,126,22,5,57,0.536,0.37,0.9059999999999999,0.34146341463414637
238,28,김규민,2018,0.295,104,298,47,88,74,9,2,3,110,27,6,89,0.369,0.361,0.73,0.41262135922330095
256,101,문선재,2013,0.267,93,217,31,58,43,10,1,4,82,13,3,71,0.37799999999999995,0.316,0.6940000000000001,0.38028169014084506
258,101,문선재,2015,0.226,103,212,27,48,29,13,1,5,78,23,3,54,0.368,0.31,0.6779999999999999,0.28104575163398693
259,101,문선재,2016,0.28800000000000003,52,111,28,32,20,3,2,7,60,10,0,29,0.541,0.344,0.885,0.3333333333333333
262,30,김동엽,2016,0.336,57,143,19,48,34,8,0,6,74,5,1,41,0.517,0.36,0.877,0.4375
263,30,김동엽,2017,0.27699999999999997,125,393,58,109,68,18,1,22,195,23,9,62,0.496,0.32899999999999996,0.825,0.2815533980582524
264,30,김동엽,2018,0.252,124,421,58,106,64,15,0,27,202,17,4,108,0.48,0.285,0.7649999999999999,0.2762237762237762
290,33,김동한,2016,0.252,78,107,9,27,21,6,0,0,33,6,0,19,0.308,0.292,0.6,0.3068181818181818
291,33,김동한,2017,0.23600000000000002,81,178,26,42,20,19,0,3,70,14,0,25,0.39299999999999996,0.292,0.685,0.26
300,35,김문호,2013,0.263,40,137,19,36,26,10,0,0,46,21,3,31,0.336,0.373,0.7090000000000001,0.33962264150943394
301,35,김문호,2014,0.214,71,192,28,41,25,11,3,2,64,19,5,51,0.33299999999999996,0.301,0.634,0.2805755395683453
302,35,김문호,2015,0.306,93,288,35,88,71,13,0,4,113,25,4,45,0.392,0.3670000000000001,0.759,0.3514644351464435
303,35,김문호,2016,0.325,140,526,77,171,133,28,3,7,226,62,6,70,0.43,0.401,0.831,0.36525612472160357
304,35,김문호,2017,0.292,131,390,49,114,94,17,1,2,139,37,13,73,0.35600000000000004,0.3720000000000001,0.728,0.35555555555555557
305,35,김문호,2018,0.25,46,100,12,25,16,7,0,2,38,13,0,27,0.38,0.336,0.716,0.323943661971831
308,36,김민성,2009,0.248,114,327,51,81,60,17,0,4,110,48,4,72,0.336,0.349,0.685,0.30677290836653387
309,36,김민성,2010,0.2,80,180,26,36,30,4,0,2,46,18,11,41,0.256,0.31,0.5660000000000001,0.24817518248175183
310,36,김민성,2011,0.23600000000000002,124,314,37,74,59,10,1,4,98,26,9,51,0.312,0.311,0.623,0.2702702702702703
311,36,김민성,2012,0.28300000000000003,71,219,24,62,49,9,0,4,83,17,6,58,0.379,0.34600000000000003,0.725,0.36942675159235666
312,36,김민성,2013,0.282,128,458,60,129,88,24,2,15,202,42,16,84,0.441,0.36,0.8009999999999999,0.31754874651810583
313,36,김민성,2014,0.292,116,438,60,128,85,29,2,12,197,30,10,80,0.45,0.349,0.7989999999999999,0.3352601156069364
314,36,김민성,2015,0.303,118,445,60,135,95,24,0,16,207,31,8,62,0.465,0.35700000000000004,0.8220000000000001,0.3242506811989101
315,36,김민성,2016,0.306,141,510,76,156,95,39,5,17,256,53,3,89,0.502,0.3670000000000001,0.8690000000000001,0.34405940594059403
316,36,김민성,2017,0.282,133,472,59,133,91,26,1,15,206,43,7,93,0.436,0.345,0.7809999999999999,0.3241758241758242
317,36,김민성,2018,0.28300000000000003,128,413,46,117,83,24,0,10,171,40,6,80,0.414,0.35100000000000003,0.7649999999999999,0.33126934984520123
322,38,김민식,2016,0.257,88,144,17,37,26,9,0,2,52,21,2,38,0.361,0.359,0.72,0.33653846153846156
323,38,김민식,2017,0.222,137,352,39,78,63,9,2,4,103,26,5,55,0.293,0.28300000000000003,0.5760000000000001,0.2525597269624573
324,38,김민식,2018,0.245,125,310,53,76,58,9,3,6,109,39,3,63,0.35200000000000004,0.33299999999999996,0.685,0.29045643153526973
332,39,김민하,2015,0.24100000000000002,54,116,18,28,21,6,0,1,37,18,4,40,0.319,0.36200000000000004,0.6809999999999999,0.36
341,41,김상수,2009,0.244,97,242,43,59,40,19,0,0,78,21,2,51,0.322,0.308,0.63,0.3089005235602094
342,41,김상수,2010,0.245,101,282,37,69,59,7,3,0,82,31,12,45,0.29100000000000004,0.344,0.635,0.2911392405063291
343,41,김상수,2011,0.278,128,406,53,113,91,16,4,2,143,47,7,61,0.35200000000000004,0.36200000000000004,0.7140000000000001,0.3236151603498542
344,41,김상수,2012,0.27399999999999997,129,419,64,115,91,18,4,2,147,41,7,56,0.35100000000000003,0.345,0.696,0.31301939058171746
345,41,김상수,2013,0.298,115,372,57,111,84,17,3,7,155,30,5,44,0.41700000000000004,0.354,0.7709999999999999,0.32398753894080995
346,41,김상수,2014,0.28800000000000003,128,427,74,123,90,20,8,5,174,41,7,77,0.40700000000000003,0.354,0.7609999999999999,0.34202898550724636
347,41,김상수,2015,0.278,132,449,67,125,83,30,4,8,187,43,6,56,0.41600000000000004,0.345,0.7609999999999999,0.3038961038961039
348,41,김상수,2016,0.271,105,358,56,97,81,13,0,3,119,23,8,39,0.332,0.326,0.6579999999999999,0.2974683544303797
349,41,김상수,2017,0.264,42,144,17,38,28,7,0,3,54,5,1,26,0.375,0.29100000000000004,0.6659999999999999,0.30434782608695654
350,41,김상수,2018,0.263,122,453,63,119,95,13,1,10,164,27,8,91,0.36200000000000004,0.314,0.6759999999999999,0.3096590909090909
368,43,김선빈,2008,0.255,112,278,39,71,67,2,2,0,77,30,2,40,0.27699999999999997,0.33,0.607,0.29831932773109243
